inci_name,aliases,group,function,features,best_for,be_careful,concerns,evidence,notes
Potassium Cetyl Phosphate,,Emulsifier,Emulsifier,Stable emulsifier; common in sunscreens,All,,,N/A,
Sorbitan Stearate,,Emulsifier,Emulsifier,Keeps oil and water mixed,All,,,N/A,
Carbomer,,Thickener,Viscosity controlling,Gives gel or cream texture,All,,,N/A,
Xanthan Gum,,Thickener,Viscosity controlling,Natural thickener; stabilises texture,All,,,N/A,
Sodium Polyacrylate,,Thickener,Viscosity controlling; film forming,Thickens and stabilises,All,,,N/A,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,,Thickener,Viscosity controlling; emulsion stabiliser,Light gel texture,All,,,N/A,
Ammonium Acryloyldimethyltaurate/VP Copolymer,,Thickener,Viscosity controlling,Light gel-cream texture,All,,,N/A,
Silica,,Texture / absorbent,Absorbent; opacifying,Absorbs oil; gives matte velvety finish,Oily; Combination,,Shine,N/A,
Phenoxyethanol,,Preservative,Preservative,Protects the product from bacteria and mould,All,,,N/A,EU limit 1%; rarely irritating
Ethylhexylglycerin,,Preservative,Preservative booster; skin conditioning,Boosts preservatives; conditions skin,All,,,N/A,
Caprylyl Glycol,,Preservative,Humectant; preservative booster,Hydrates and supports preservation,All,,,N/A,
Methylparaben,,Preservative,Preservative,Protects the product from microbes,All,,,N/A,Well studied and EU-permitted with limits
Propylparaben,,Preservative,Preservative,Protects the product from microbes,All,,,N/A,EU limits its concentration
Sodium Benzoate,,Preservative,Preservative,Protects the product from microbes,All,,,N/A,
Potassium Sorbate,,Preservative,Preservative,Protects the product from mould,All,,,N/A,
Chlorphenesin,,Preservative,Preservative,Protects the product from microbes,All,,,N/A,
Hydroxyacetophenone,,Antioxidant,Antioxidant; preservative booster; soothing,Supports preservation and calms skin,All,,,Limited,
Sodium Hydroxide,,pH adjuster,Buffering,Adjusts pH; neutralised in the final product,All,,,N/A,Harmless at the tiny amounts used
Citric Acid,,pH adjuster,Buffering,Adjusts pH,All,,,N/A,
Triethanolamine,,pH adjuster,Buffering,Adjusts pH,All,,,N/A,
Disodium EDTA,edta|tetrasodium edta,Chelating agent,Chelating,Binds metals so the formula stays stable,All,,,N/A,
Sodium Phytate,,Chelating agent,Chelating,Natural metal binder,All,,,N/A,
Parfum,fragrance|perfume|aroma,Fragrance,Perfuming,Gives the cream its scent,Normal; Oily; Combination,Sensitive; Acne-prone,,N/A,Common cause of skin allergy
Limonene,,Fragrance,Perfuming (fragrance allergen),Citrus scent component,Normal,Sensitive,,N/A,Declared allergen in the EU
Linalool,,Fragrance,Perfuming (fragrance allergen),Floral scent component,Normal,Sensitive,,N/A,Declared allergen in the EU
Citronellol,,Fragrance,Perfuming (fragrance allergen),Rose-like scent component,Normal,Sensitive,,N/A,Declared allergen in the EU
Geraniol,,Fragrance,Perfuming (fragrance allergen),Rose-like scent component,Normal,Sensitive,,N/A,Declared allergen in the EU
Hexyl Cinnamal,,Fragrance,Perfuming (fragrance allergen),Floral scent component,Normal,Sensitive,,N/A,Declared allergen in the EU
Benzyl Alcohol,,Preservative,Preservative; perfuming,Preserves and adds light scent,All,Sensitive,,N/A,Declared allergen when used as fragrance
Alcohol Denat.,alcohol|ethanol|sd alcohol,Solvent,Solvent,Quick-drying light feel; helps absorption,Oily,Dry; Sensitive,,N/A,High amounts can dry skin
Hydrolyzed Collagen,collagen,Humectant,Humectant; film forming,Hydrates and smooths the skin surface,Dry; Mature; Normal,,Dryness; fine lines,Limited,Does not replace the skin's own collagen
